id_experimento,MH,funcion,fitness,tiempoEjecucion,paramMH,display_name,rule_set,num_labels,category,optimo,optimum_group,optimum_group_label,gap_abs
85,PSO_FCS:O1:3:I1:R2,F1,11343.72050925767,25.769,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,11343.72050925767
86,PSO_FCS:O1:3:I1:R2,F1,10881.757089041175,26.062,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,10881.757089041175
87,PSO_FCS:O1:3:I1:R2,F1,12725.7401304623,25.759,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,12725.7401304623
88,PSO_FCS:O1:3:I1:R2,F1,11691.401456290761,25.274,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,11691.401456290761
89,PSO_FCS:O1:3:I1:R2,F1,11326.58564218232,26.061,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,11326.58564218232
90,PSO_FCS:O1:3:I1:R2,F1,11488.209490791654,26.062,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,11488.209490791654
91,PSO_FCS:O1:3:I1:R2,F1,10338.278654684469,23.656,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,10338.278654684469
92,PSO_FCS:O1:3:I1:R2,F1,10973.040810685934,23.933,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,10973.040810685934
93,PSO_FCS:O1:3:I1:R2,F1,12192.891469098053,23.582,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R2,wMin:0.1,wMax:0.9",R2-3L,R2,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,12192.891469098053
94,PSO_FCS:O1:3:I1:R3,F1,9542.387873760537,23.653,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R3,wMin:0.1,wMax:0.9",R3-3L,R3,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,9542.387873760537
95,PSO_FCS:O1:3:I1:R3,F1,14897.446221139799,23.814,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R3,wMin:0.1,wMax:0.9",R3-3L,R3,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,14897.446221139799
96,PSO_FCS:O1:3:I1:R3,F1,10541.77758989554,23.895,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R3,wMin:0.1,wMax:0.9",R3-3L,R3,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,10541.77758989554
97,PSO_FCS:O1:3:I1:R3,F1,13537.564979234423,25.592,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R3,wMin:0.1,wMax:0.9",R3-3L,R3,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,13537.564979234423
98,PSO_FCS:O1:3:I1:R3,F1,9208.419355723214,25.895,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R3,wMin:0.1,wMax:0.9",R3-3L,R3,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,9208.419355723214
99,PSO_FCS:O1:3:I1:R3,F1,11582.539700960464,25.613,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R3,wMin:0.1,wMax:0.9",R3-3L,R3,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,11582.539700960464
100,PSO_FCS:O1:3:I1:R3,F1,8547.203053853927,26.146,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R3,wMin:0.1,wMax:0.9",R3-3L,R3,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,8547.203053853927
101,PSO_FCS:O1:3:I1:R3,F1,14426.46806045839,26.747,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R3,wMin:0.1,wMax:0.9",R3-3L,R3,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,14426.46806045839
102,PSO_FCS:O1:3:I1:R3,F1,12492.317838823383,26.161,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R3,wMin:0.1,wMax:0.9",R3-3L,R3,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,12492.317838823383
103,PSO_FCS:O1:3:I1:R3,F1,12661.095900418004,24.971,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R3,wMin:0.1,wMax:0.9",R3-3L,R3,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,12661.095900418004
104,PSO_FCS:O1:3:I1:R3,F1,11517.76670989973,24.77,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R3,wMin:0.1,wMax:0.9",R3-3L,R3,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,11517.76670989973
105,PSO_FCS:O1:3:I1:R3,F1,8188.68321864856,24.559,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R3,wMin:0.1,wMax:0.9",R3-3L,R3,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,8188.68321864856
106,PSO_FCS:O1:3:I1:R3,F1,9482.391577543998,24.353,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R3,wMin:0.1,wMax:0.9",R3-3L,R3,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,9482.391577543998
107,PSO_FCS:O1:3:I1:R3,F1,10514.848475809038,23.894,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R3,wMin:0.1,wMax:0.9",R3-3L,R3,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,10514.848475809038
108,PSO_FCS:O1:3:I1:R3,F1,8794.957741058246,23.889,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R3,wMin:0.1,wMax:0.9",R3-3L,R3,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,8794.957741058246
109,PSO_FCS:O1:3:I1:R3,F1,12543.001260167366,27.23,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R3,wMin:0.1,wMax:0.9",R3-3L,R3,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,12543.001260167366
110,PSO_FCS:O1:3:I1:R3,F1,11555.633292534196,24.409,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R3,wMin:0.1,wMax:0.9",R3-3L,R3,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,11555.633292534196
111,PSO_FCS:O1:3:I1:R3,F1,10930.733982699963,24.695,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R3,wMin:0.1,wMax:0.9",R3-3L,R3,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,10930.733982699963
112,PSO_FCS:O1:3:I1:R3,F1,13435.47930823923,26.702,"iter:1000,pop:20,w_set:O1,num_labels:3,input_set:I1,rule_set:R3,wMin:0.1,wMax:0.9",R3-3L,R3,3.0,Unimodal,0.0,optimum_zero,Optimum = 0,13435.47930823923
